순위,곡명,가수,앨범,장르
1,Love wins all,아이유,The Winning,발라드
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,R&B/Soul
3,비의 랩소디,임재현,비의 랩소디,발라드
4,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,댄스
5,Love 119,RIIZE,Love 119,댄스
6,에피소드,이무진,에피소드,록/메탈
7,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,댄스
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),발라드
9,Drama,aespa,Drama - The 4th Mini Album,댄스
10,헤어지자 말해요,박재정,1집 Alone,발라드
11,밤양갱,비비 (BIBI),밤양갱,R&B/Soul
12,인사,범진,인사,"발라드, 인디음악"
13,Wife,i-dle (아이들),2,댄스
14,Super Lady,i-dle (아이들),2,댄스
15,I AM,IVE (아이브),I've IVE,댄스
16,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,댄스
17,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3,"발라드, 국내드라마"
18,Get A Guitar,RIIZE,Get A Guitar,댄스
19,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',댄스
20,Love Lee,AKMU (악뮤),Love Lee,댄스
21,Baddie,IVE (아이브),I'VE MINE,댄스
22,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
23,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],댄스
24,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,발라드
25,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',댄스
26,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",발라드
27,퀸카 (Queencard),i-dle (아이들),I feel,댄스
28,후라이의 꿈,AKMU (악뮤),Love Lee,포크/블루스
29,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',댄스
30,예뻤어,DAY6 (데이식스),Every DAY6 February,록/메탈
31,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"발라드, 국내드라마"
32,Ditto,NewJeans,NewJeans 'OMG',댄스
33,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"발라드, 국내드라마"
34,ETA,NewJeans,NewJeans 2nd EP 'Get Up',댄스
35,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,록/메탈
36,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',발라드
37,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',록/메탈
38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,발라드
39,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,발라드
40,사랑할 수밖에,볼빨간사춘기,Merry Go Round,"발라드, 인디음악"
